epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.005401512607932091,7.525652885437012,0.005,0.009765625,11771083776.0
1,0.006841915659606457,6.46662712097168,0.004524187,0.015625,376.2745056152344
2,0.012843596749007702,6.064053535461426,0.004093654,0.015625,4.9338250160217285
3,0.016684671863913536,5.908688068389893,0.003704091,0.0244140625,4.765894889831543
4,0.023406554013490677,5.769030570983887,0.0033516001,0.0224609375,4.687284469604492
5,0.03408954665064812,5.634615898132324,0.0030326534,0.0458984375,4.511516094207764
6,0.04393230378627777,5.4742045402526855,0.0027440581,0.0478515625,4.494797706604004
7,0.054735325276851654,5.353663444519043,0.0024829265,0.0302734375,7.522303581237793
8,0.060256872326135635,5.269111633300781,0.0022466448,0.0517578125,4.895298004150391
9,0.06757892668247223,5.126445770263672,0.0020328483,0.0546875,4.788271427154541
10,0.07238026708364487,5.0746378898620605,0.0018393972,0.046875,330.0425109863281
11,0.07994238287210464,4.990303993225098,0.0016643554,0.0673828125,6.067756175994873
12,0.09206578135490417,4.888584613800049,0.0015059711,0.0693359375,4.45671272277832
13,0.10190853476524353,4.814283847808838,0.0013626589,0.08984375,4.929345607757568
14,0.10430920869112015,4.757734775543213,0.0012329848,0.0791015625,5.011047840118408
15,0.11307166516780853,4.684970855712891,0.0011156508,0.0986328125,4.018540859222412
16,0.11775297671556473,4.635190486907959,0.0010094825,0.1201171875,3.9063994884490967
17,0.12111391127109528,4.585517883300781,0.0009134176,0.0869140625,4.116921424865723
18,0.13095666468143463,4.520075798034668,0.0008264944,0.1015625,4.666928768157959
19,0.13563798367977142,4.468130111694336,0.0007478431,0.1142578125,4.724216461181641
20,0.14812147617340088,4.3862080574035645,0.0006766764,0.095703125,4.153343677520752
21,0.15148241817951202,4.318543910980225,0.00061228214,0.1162109375,3.9015374183654785
22,0.16192534565925598,4.244391441345215,0.0005540158,0.0986328125,3.995476245880127
23,0.164326012134552,4.184042930603027,0.0005012942,0.1083984375,4.22744083404541
24,0.1696074903011322,4.146617412567139,0.00045358978,0.1279296875,4.413815498352051
25,0.18737246096134186,4.066006660461426,0.00041042498,0.1181640625,4.366065502166748
26,0.18845276534557343,4.022090435028076,0.0003713679,0.1240234375,4.123849391937256
27,0.19025327265262604,3.957967758178711,0.00033602756,0.12890625,4.429954528808594
28,0.1954147219657898,3.9131085872650146,0.0003040503,0.1357421875,4.219720840454102
29,0.21161925792694092,3.8329973220825195,0.0002751161,0.1240234375,4.596895694732666
30,0.20957869291305542,3.79799485206604,0.00024893534,0.1435546875,4.738218307495117
31,0.2238626927137375,3.707362413406372,0.00022524601,0.1357421875,5.530766010284424
